Gép;Pozíció;Cikkszám;Model;Msd;Msd szint;Idõ
3;237;CH_CPCAP10674A;Chrony IVI;Nem;Nincs;-
3;238;CH_CPCAP10686A;Chrony IVI;Nem;Nincs;-
3;239;CH_CPICS02792A;Chrony IVI;Nem;Nincs;-
3;241;CH_CPTRT00133A;Chrony IVI;Nem;Nincs;-
3;242;CH_CPCAP10472A;Chrony IVI;Nem;Nincs;-
3;243;CH_CPCAP12214A;Chrony IVI;Nem;Nincs;-
3;244;CH_CPICS00162A;Chrony IVI;Nem;Nincs;-
3;247;CH_CPCON02252A;Chrony IVI;Nem;Nincs;-
3;249;CH_CPDIO00575A;Chrony IVI;Nem;Nincs;-
3;251;CH_CPICS01060A;Chrony IVI;Igen;2;1 év
3;253;CH_CPICS03153A;Chrony IVI;Igen;3;168 óra (7nap)
3;255;CH_CPICS03266A;Chrony IVI;Igen;2;1 év
3;257;CH_CPICS03301A;Chrony IVI;Igen;2;1 év
3;259;CH_CPICS03440A;Chrony IVI;Igen;3;168 óra (7nap)
4;101;CH_CPIND01501A;Chrony IVI;Nem;Nincs;-
4;107;CH_CPCON01591A;Chrony IVI;Nem;Nincs;-
4;109;CH_CPIND01600A;Chrony IVI;Nem;Nincs;-
4;111;CH_CPDIO00572A;Chrony IVI;Nem;Nincs;-
4;117;CH_CPCON02277A;Chrony IVI;Nem;Nincs;-
4;201;CH_CPCAP04737A;Chrony IVI;Nem;Nincs;-
4;207;CH_CPCON01881A;Chrony IVI;Nem;Nincs;-
4;213;CH_CPCON02364A;Chrony IVI;Nem;Nincs;-
4;219;CH_CPCON01888A;Chrony IVI;Nem;Nincs;-
4;223;CH_CPIND01522A;Chrony IVI;Nem;Nincs;-
4;227;CH_CPICS03188A;Chrony IVI;Igen;3;168 óra (7nap)
4;231;CH_CPCAP04728A;Chrony IVI;Nem;Nincs;-
4;233;CH_CPICS03287A;Chrony IVI;Nem;Nincs;-
4;237;CH_CPCAP04650A;Chrony IVI;Nem;Nincs;-
4;241;CH_CPICS03143A;Chrony IVI;Igen;3;168 óra (7nap)
4;245;CH_CPICS03416A;Chrony IVI;Igen;3;168 óra (7nap)
4;249;CH_CPICS03037A;Chrony IVI;Igen;3;168 óra (7nap)
4;251;CH_CPICS03038A;Chrony IVI;Igen;3;168 óra (7nap)
4;253;CH_CPCAP04716A;Chrony IVI;Nem;Nincs;-
4;255;CH_CPCAP04673A;Chrony IVI;Nem;Nincs;-
